population,minimum_age,maximum_age,gender,zipcode,geo_id
0,21,21,female,00906,8600000US00906
0,75,79,female,00906,8600000US00906
0,70,74,female,00934,8600000US00934
0,21,21,male,00934,8600000US00934
0,15,17,male,00950,8600000US00950
0,15,17,female,00950,8600000US00950
0,67,69,female,00950,8600000US00950
0,21,21,male,00951,8600000US00951
0,15,17,female,00951,8600000US00951
0,62,64,male,01003,8600000US01003
0,5,9,male,01003,8600000US01003
0,62,64,female,01063,8600000US01063
0,50,54,male,01063,8600000US01063
0,0,4,male,01063,8600000US01063
0,67,69,female,01086,8600000US01086
0,65,66,male,01086,8600000US01086
0,45,49,female,01086,8600000US01086
0,55,59,female,01086,8600000US01086
0,70,74,female,01097,8600000US01097
0,5,9,male,01199,8600000US01199
0,65,66,female,01224,8600000US01224
0,5,9,male,01229,8600000US01229
0,21,21,female,01243,8600000US01243
0,18,19,male,01244,8600000US01244
0,85,,male,01244,8600000US01244
0,75,79,male,01434,8600000US01434
0,85,,male,01937,8600000US01937
0,21,21,male,02047,8600000US02047
0,30,34,male,02047,8600000US02047
0,60,61,male,02163,8600000US02163
0,65,66,male,02163,8600000US02163
0,75,79,male,02203,8600000US02203
0,62,64,male,02203,8600000US02203
0,10,14,male,02203,8600000US02203
0,85,,female,02357,8600000US02357
0,62,64,female,02457,8600000US02457
0,75,79,male,02457,8600000US02457
0,20,20,female,02535,8600000US02535
0,75,79,male,02542,8600000US02542
0,18,19,female,02564,8600000US02564
0,18,19,female,02584,8600000US02584
0,85,,male,02584,8600000US02584
0,45,49,male,02584,8600000US02584
0,15,17,female,02643,8600000US02643
0,21,21,male,02643,8600000US02643
0,20,20,female,02647,8600000US02647
0,22,24,male,02713,8600000US02713
0,25,29,female,02713,8600000US02713
0,20,20,female,02713,8600000US02713
0,0,4,male,02791,8600000US02791
0,18,19,female,02836,8600000US02836
0,20,20,male,02836,8600000US02836
0,67,69,male,02841,8600000US02841
0,10,14,female,02841,8600000US02841
0,80,84,male,02875,8600000US02875
0,45,49,female,02912,8600000US02912
0,50,54,male,02912,8600000US02912
0,20,20,female,03043,8600000US03043
0,20,20,male,03233,8600000US03233
0,18,19,female,03233,8600000US03233
0,75,79,male,03291,8600000US03291
0,15,17,female,03291,8600000US03291
0,20,20,male,03441,8600000US03441
0,21,21,male,03575,8600000US03575
0,0,4,male,03575,8600000US03575
0,62,64,male,03604,8600000US03604
0,55,59,male,03604,8600000US03604
0,20,20,male,03780,8600000US03780
0,20,20,female,03850,8600000US03850
0,70,74,male,03883,8600000US03883
0,0,4,male,04006,8600000US04006
0,5,9,male,04057,8600000US04057
0,35,39,female,04109,8600000US04109
0,22,24,male,04109,8600000US04109
0,21,21,male,04227,8600000US04227
0,15,17,male,04228,8600000US04228
0,80,84,male,04228,8600000US04228
0,21,21,male,04234,8600000US04234
0,35,39,male,04267,8600000US04267
0,40,44,female,04271,8600000US04271
0,15,17,male,04271,8600000US04271
0,20,20,female,04275,8600000US04275
0,21,21,male,04343,8600000US04343
0,67,69,male,04413,8600000US04413
0,21,21,female,04424,8600000US04424
0,22,24,female,04431,8600000US04431
0,35,39,female,04431,8600000US04431
0,21,21,female,04442,8600000US04442
0,10,14,female,04454,8600000US04454
0,80,84,male,04469,8600000US04469
0,65,66,male,04469,8600000US04469
0,18,19,female,04490,8600000US04490
0,20,20,female,04497,8600000US04497
0,25,29,male,04541,8600000US04541
0,10,14,male,04570,8600000US04570
0,75,79,female,04570,8600000US04570
0,60,61,male,04570,8600000US04570
0,67,69,female,04570,8600000US04570
0,20,20,female,04570,8600000US04570
0,30,34,female,04624,8600000US04624
0,35,39,male,04625,8600000US04625
0,30,34,male,04625,8600000US04625
0,21,21,female,04626,8600000US04626
0,21,21,male,04637,8600000US04637
0,25,29,male,04637,8600000US04637
0,10,14,male,04644,8600000US04644
0,18,19,male,04644,8600000US04644
0,10,14,female,04673,8600000US04673
0,20,20,male,04685,8600000US04685
0,20,20,male,04686,8600000US04686
0,70,74,female,04741,8600000US04741
0,21,21,female,04746,8600000US04746
0,21,21,female,04764,8600000US04764
0,21,21,female,04773,8600000US04773
0,18,19,female,04779,8600000US04779
0,75,79,female,04851,8600000US04851
0,80,84,male,04851,8600000US04851
0,18,19,female,04852,8600000US04852
0,45,49,female,04926,8600000US04926
0,21,21,male,04944,8600000US04944
0,21,21,male,04975,8600000US04975
0,21,21,female,04975,8600000US04975
0,20,20,female,04975,8600000US04975
0,0,4,female,04985,8600000US04985
0,10,14,female,04985,8600000US04985
0,20,20,female,05059,8600000US05059
0,62,64,male,05084,8600000US05084
0,20,20,female,05146,8600000US05146
0,62,64,female,05405,8600000US05405
0,35,39,female,05405,8600000US05405
0,65,66,female,05405,8600000US05405
0,,,,05481,8600000US05481
0,67,69,male,05485,8600000US05485
0,80,84,female,05485,8600000US05485
0,70,74,male,05485,8600000US05485
0,18,19,female,05485,8600000US05485
0,21,21,female,05657,8600000US05657
0,18,19,female,05664,8600000US05664
0,21,21,female,05669,8600000US05669
0,21,21,female,05678,8600000US05678
0,62,64,male,05740,8600000US05740
0,50,54,male,05740,8600000US05740
0,20,20,female,05740,8600000US05740
0,65,66,male,05740,8600000US05740
0,21,21,male,05837,8600000US05837
0,50,54,male,05901,8600000US05901
0,15,17,male,05901,8600000US05901
0,20,20,male,05901,8600000US05901
0,75,79,female,05901,8600000US05901
0,10,14,female,06020,8600000US06020
0,70,74,female,06020,8600000US06020
0,30,34,male,06020,8600000US06020
0,65,66,male,06020,8600000US06020
0,62,64,female,06020,8600000US06020
0,35,39,male,06059,8600000US06059
0,25,29,female,06059,8600000US06059
0,65,66,female,06061,8600000US06061
0,22,24,male,06091,8600000US06091
0,65,66,male,06160,8600000US06160
0,67,69,female,06336,8600000US06336
0,80,84,male,06353,8600000US06353
0,30,34,male,06389,8600000US06389
0,65,66,male,06389,8600000US06389
0,30,34,female,06389,8600000US06389
0,80,84,female,06389,8600000US06389
0,20,20,male,06389,8600000US06389
0,21,21,female,06467,8600000US06467
0,67,69,female,06856,8600000US06856
0,85,,female,06856,8600000US06856
0,21,21,male,07495,8600000US07495
0,,,male,07495,8600000US07495
0,22,24,male,07495,8600000US07495
0,70,74,female,07703,8600000US07703
0,85,,female,07833,8600000US07833
0,21,21,female,07842,8600000US07842
0,20,20,male,07870,8600000US07870
0,85,,male,07881,8600000US07881
0,18,19,female,07881,8600000US07881
0,40,44,female,07881,8600000US07881
0,55,59,female,07939,8600000US07939
0,15,17,female,07939,8600000US07939
0,22,24,male,07939,8600000US07939
0,15,17,male,07961,8600000US07961
0,70,74,male,07961,8600000US07961
0,85,,female,08042,8600000US08042
0,60,61,male,08074,8600000US08074
0,21,21,female,08095,8600000US08095
0,20,20,male,08212,8600000US08212
0,67,69,male,08240,8600000US08240
0,60,61,female,08240,8600000US08240
0,45,49,male,08240,8600000US08240
0,18,19,female,08320,8600000US08320
0,45,49,female,08320,8600000US08320
0,20,20,male,08321,8600000US08321
0,80,84,male,08329,8600000US08329
0,20,20,male,08561,8600000US08561
0,80,84,male,08640,8600000US08640
0,67,69,female,08640,8600000US08640
0,21,21,female,08858,8600000US08858
0,85,,male,10020,8600000US10020
0,80,84,female,10020,8600000US10020
0,65,66,female,10020,8600000US10020
0,62,64,male,10103,8600000US10103
0,20,20,female,10103,8600000US10103
0,80,84,male,10103,8600000US10103
0,85,,female,10103,8600000US10103
0,70,74,female,10110,8600000US10110
0,15,17,female,10110,8600000US10110
0,20,20,female,10110,8600000US10110
0,75,79,male,10111,8600000US10111
0,62,64,female,10111,8600000US10111
0,35,39,female,10111,8600000US10111
0,85,,female,10112,8600000US10112
0,85,,male,10112,8600000US10112
0,50,54,female,10112,8600000US10112
0,18,19,male,10115,8600000US10115
0,25,29,male,10115,8600000US10115
0,20,20,male,10115,8600000US10115
0,15,17,male,10119,8600000US10119
0,5,9,male,10152,8600000US10152
0,15,17,male,10152,8600000US10152
0,70,74,male,10152,8600000US10152
0,30,34,male,10152,8600000US10152
0,85,,female,10153,8600000US10153
0,75,79,female,10153,8600000US10153
0,67,69,male,10153,8600000US10153
0,0,4,male,10154,8600000US10154
0,35,39,male,10154,8600000US10154
0,62,64,female,10154,8600000US10154
0,70,74,male,10154,8600000US10154
0,40,44,male,10165,8600000US10165
0,15,17,female,10165,8600000US10165
0,45,49,male,10167,8600000US10167
0,30,34,male,10167,8600000US10167
0,,,female,10167,8600000US10167
0,50,54,female,10167,8600000US10167
0,0,4,male,10167,8600000US10167
0,65,66,male,10168,8600000US10168
0,,,,10168,8600000US10168
0,20,20,male,10169,8600000US10169
0,30,34,male,10169,8600000US10169
0,60,61,male,10169,8600000US10169
0,10,14,male,10169,8600000US10169
0,55,59,male,10169,8600000US10169
0,21,21,female,10169,8600000US10169
0,85,,male,10170,8600000US10170
0,67,69,male,10170,8600000US10170
0,35,39,male,10170,8600000US10170
0,25,29,male,10171,8600000US10171
0,85,,male,10171,8600000US10171
0,85,,female,10172,8600000US10172
0,85,,male,10172,8600000US10172
0,80,84,female,10173,8600000US10173
0,62,64,female,10173,8600000US10173
0,20,20,female,10173,8600000US10173
0,65,66,female,10173,8600000US10173
0,85,,female,10173,8600000US10173
0,35,39,female,10174,8600000US10174
0,65,66,female,10174,8600000US10174
0,10,14,female,10177,8600000US10177
0,70,74,male,10177,8600000US10177
0,55,59,female,10199,8600000US10199
0,45,49,male,10199,8600000US10199
0,35,39,female,10199,8600000US10199
0,85,,male,10271,8600000US10271
0,70,74,male,10271,8600000US10271
0,75,79,male,10271,8600000US10271
0,67,69,male,10271,8600000US10271
0,22,24,female,10271,8600000US10271
0,18,19,female,10278,8600000US10278
0,10,14,female,10278,8600000US10278
0,40,44,female,10278,8600000US10278
0,22,24,male,10279,8600000US10279
0,,,,10279,8600000US10279
0,67,69,female,10311,8600000US10311
0,55,59,female,10311,8600000US10311
0,40,44,female,10311,8600000US10311
0,85,,female,10311,8600000US10311
0,80,84,female,10311,8600000US10311
0,20,20,female,10535,8600000US10535
0,5,9,female,10545,8600000US10545
0,0,4,female,10545,8600000US10545
0,60,61,male,10910,8600000US10910
0,60,61,male,10911,8600000US10911
0,21,21,male,10911,8600000US10911
0,67,69,female,10911,8600000US10911
0,0,4,female,10911,8600000US10911
0,18,19,male,10979,8600000US10979
0,70,74,male,10985,8600000US10985
0,65,66,male,10996,8600000US10996
0,70,74,male,10996,8600000US10996
0,21,21,female,11005,8600000US11005
0,40,44,male,11042,8600000US11042
0,45,49,male,11042,8600000US11042
0,30,34,male,11351,8600000US11351
0,85,,male,11351,8600000US11351
0,45,49,male,11359,8600000US11359
0,25,29,female,11359,8600000US11359
0,65,66,female,11359,8600000US11359
0,80,84,male,11371,8600000US11371
0,55,59,female,11371,8600000US11371
0,30,34,female,11371,8600000US11371
0,10,14,female,11424,8600000US11424
0,70,74,female,11424,8600000US11424
0,25,29,female,11424,8600000US11424
0,40,44,male,11424,8600000US11424
0,30,34,male,11425,8600000US11425
0,85,,male,11425,8600000US11425
0,65,66,male,11425,8600000US11425
0,18,19,female,11451,8600000US11451
0,55,59,male,11549,8600000US11549
0,80,84,female,11549,8600000US11549
0,55,59,female,11556,8600000US11556
0,50,54,female,11556,8600000US11556
0,10,14,female,11794,8600000US11794
0,55,59,male,11973,8600000US11973
0,60,61,female,11973,8600000US11973
0,30,34,male,11973,8600000US11973
0,67,69,male,11973,8600000US11973
0,21,21,female,12007,8600000US12007
0,80,84,female,12007,8600000US12007
0,18,19,female,12008,8600000US12008
0,80,84,male,12045,8600000US12045
0,62,64,male,12069,8600000US12069
0,20,20,female,12108,8600000US12108
0,0,4,female,12222,8600000US12222
0,55,59,female,12222,8600000US12222
0,0,4,male,12222,8600000US12222
0,70,74,female,12222,8600000US12222
0,5,9,male,12222,8600000US12222
0,67,69,female,12222,8600000US12222
0,80,84,female,12407,8600000US12407
0,20,20,male,12439,8600000US12439
0,20,20,female,12459,8600000US12459
0,65,66,male,12471,8600000US12471
0,80,84,male,12475,8600000US12475
0,30,34,female,12490,8600000US12490
0,65,66,male,12504,8600000US12504
0,60,61,female,12527,8600000US12527
0,60,61,female,12604,8600000US12604
0,55,59,female,12604,8600000US12604
0,85,,female,12604,8600000US12604
0,35,39,male,12604,8600000US12604
0,75,79,female,12722,8600000US12722
0,21,21,female,12725,8600000US12725
0,20,20,female,12738,8600000US12738
0,20,20,female,12769,8600000US12769
0,21,21,male,12781,8600000US12781
0,65,66,male,12784,8600000US12784
0,20,20,male,12823,8600000US12823
0,85,,male,12823,8600000US12823
0,20,20,female,12844,8600000US12844
0,21,21,male,12851,8600000US12851
0,18,19,female,12858,8600000US12858
0,85,,male,12858,8600000US12858
0,85,,female,12862,8600000US12862
0,62,64,female,12862,8600000US12862
0,25,29,male,12864,8600000US12864
0,18,19,male,12864,8600000US12864
0,10,14,male,12864,8600000US12864
0,5,9,female,12872,8600000US12872
0,10,14,female,12872,8600000US12872
0,18,19,male,12872,8600000US12872
0,20,20,male,12872,8600000US12872
0,62,64,male,12911,8600000US12911
0,62,64,female,12911,8600000US12911
0,85,,female,12922,8600000US12922
0,20,20,female,12927,8600000US12927
0,75,79,female,12933,8600000US12933
0,70,74,female,12977,8600000US12977
0,18,19,female,13024,8600000US13024
0,25,29,female,13087,8600000US13087
0,80,84,male,13102,8600000US13102
0,65,66,female,13102,8600000US13102
0,85,,male,13103,8600000US13103
0,18,19,male,13134,8600000US13134
0,21,21,male,13138,8600000US13138
0,10,14,female,13290,8600000US13290
0,20,20,female,13290,8600000US13290
0,10,14,male,13301,8600000US13301
0,80,84,male,13305,8600000US13305
0,15,17,female,13331,8600000US13331
0,30,34,female,13333,8600000US13333
0,21,21,male,13341,8600000US13341
0,55,59,female,13362,8600000US13362
0,55,59,female,13441,8600000US13441
0,85,,male,13441,8600000US13441
0,5,9,male,13441,8600000US13441
0,40,44,female,13441,8600000US13441
0,62,64,male,13475,8600000US13475
0,65,66,female,13475,8600000US13475
0,20,20,male,13623,8600000US13623
0,85,,male,13643,8600000US13643
0,20,20,female,13677,8600000US13677
0,20,20,male,13687,8600000US13687
0,60,61,female,13692,8600000US13692
0,5,9,female,13692,8600000US13692
0,35,39,female,13695,8600000US13695
0,65,66,male,13695,8600000US13695
0,20,20,female,13751,8600000US13751
0,20,20,male,13784,8600000US13784
0,85,,male,13784,8600000US13784
0,21,21,male,13794,8600000US13794
0,67,69,female,13794,8600000US13794
0,20,20,male,13794,8600000US13794
0,18,19,male,13826,8600000US13826
0,75,79,female,13847,8600000US13847
0,20,20,male,13859,8600000US13859
0,0,4,male,13902,8600000US13902
0,67,69,male,14109,8600000US14109
0,22,24,female,14168,8600000US14168
0,85,,male,14169,8600000US14169
0,15,17,male,14302,8600000US14302
0,20,20,female,14302,8600000US14302
0,21,21,male,14529,8600000US14529
0,85,,male,14588,8600000US14588
0,10,14,male,14614,8600000US14614
0,5,9,female,14614,8600000US14614
0,75,79,male,14614,8600000US14614
0,62,64,female,14627,8600000US14627
0,35,39,male,14627,8600000US14627
0,65,66,female,14627,8600000US14627
0,85,,male,14627,8600000US14627
0,21,21,male,14708,8600000US14708
0,21,21,male,14721,8600000US14721
0,67,69,male,14721,8600000US14721
0,21,21,female,14732,8600000US14732
0,10,14,male,14752,8600000US14752
0,5,9,female,14778,8600000US14778
0,65,66,male,14778,8600000US14778
0,21,21,female,14827,8600000US14827
0,10,14,female,14853,8600000US14853
0,45,49,female,14853,8600000US14853
0,45,49,male,14854,8600000US14854
0,15,17,male,14854,8600000US14854
0,21,21,male,14893,8600000US14893
0,15,17,male,14893,8600000US14893
0,0,4,female,14893,8600000US14893
0,75,79,female,15007,8600000US15007
0,21,21,male,15020,8600000US15020
0,20,20,male,15054,8600000US15054
0,70,74,female,15075,8600000US15075
0,21,21,male,15086,8600000US15086
0,5,9,female,15260,8600000US15260
0,35,39,male,15260,8600000US15260
0,25,29,female,15260,8600000US15260
0,80,84,female,15290,8600000US15290
0,10,14,female,15290,8600000US15290
0,75,79,male,15353,8600000US15353
0,18,19,male,15366,8600000US15366
0,80,84,male,15378,8600000US15378
0,60,61,female,15379,8600000US15379
0,20,20,female,15463,8600000US15463
0,80,84,male,15476,8600000US15476
0,18,19,male,15555,8600000US15555
0,25,29,female,15616,8600000US15616
0,5,9,male,15616,8600000US15616
0,65,66,female,15616,8600000US15616
0,21,21,female,15621,8600000US15621
0,65,66,male,15646,8600000US15646
0,65,66,female,15693,8600000US15693
0,21,21,male,15723,8600000US15723
0,18,19,female,15723,8600000US15723
0,62,64,male,15727,8600000US15727
0,65,66,female,15730,8600000US15730
0,65,66,male,15737,8600000US15737
0,65,66,female,15738,8600000US15738
0,60,61,male,15739,8600000US15739
0,21,21,female,15741,8600000US15741
0,60,61,male,15741,8600000US15741
0,20,20,male,15746,8600000US15746
0,18,19,male,15752,8600000US15752
0,21,21,male,15752,8600000US15752
0,21,21,male,15756,8600000US15756
0,20,20,female,15756,8600000US15756
0,80,84,female,15776,8600000US15776
0,20,20,female,15776,8600000US15776
0,21,21,male,15780,8600000US15780
0,25,29,male,15780,8600000US15780
0,85,,male,15780,8600000US15780
0,20,20,male,15784,8600000US15784
0,20,20,male,15827,8600000US15827
0,18,19,female,15847,8600000US15847
0,80,84,male,15929,8600000US15929
0,20,20,male,15945,8600000US15945
0,62,64,male,15945,8600000US15945
0,85,,male,15953,8600000US15953
0,15,17,female,16048,8600000US16048
0,65,66,male,16140,8600000US16140
0,22,24,female,16155,8600000US16155
0,15,17,female,16211,8600000US16211
0,21,21,female,16311,8600000US16311
0,21,21,male,16312,8600000US16312
0,21,21,female,16312,8600000US16312
0,22,24,female,16312,8600000US16312
0,30,34,male,16331,8600000US16331
0,21,21,female,16332,8600000US16332
0,22,24,male,16361,8600000US16361
0,67,69,male,16427,8600000US16427
0,35,39,female,16444,8600000US16444
0,67,69,male,16546,8600000US16546
0,55,59,male,16546,8600000US16546
0,65,66,female,16631,8600000US16631
0,75,79,male,16631,8600000US16631
0,18,19,female,16638,8600000US16638
0,21,21,female,16677,8600000US16677
0,21,21,female,16680,8600000US16680
0,21,21,male,16682,8600000US16682
0,80,84,male,16699,8600000US16699
0,70,74,male,16728,8600000US16728
0,65,66,female,16802,8600000US16802
0,67,69,female,16802,8600000US16802
0,60,61,male,16802,8600000US16802
0,70,74,female,16802,8600000US16802
0,85,,male,16871,8600000US16871
0,62,64,male,16937,8600000US16937
0,85,,male,16941,8600000US16941
0,22,24,male,16941,8600000US16941
0,80,84,male,17010,8600000US17010
0,60,61,female,17039,8600000US17039
